Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7EAMXbLcL0qXmciM5SwMh2,"Heart To Heart","Here Comes The Cowboy","Mac DeMarco",2019-05-10,211140,82,false,,2023-12-30T00:35:38Z,"indie,lo-fi indie","Mac’s Record Label",0.901,0.136,8,-16.127,0,0.102,0.667,0.354,0.109,0.643,150.076,4
spotify:track:0xahPNJVFHGMEFxu9kergk,"September","September","Sparky Deathcap",2009,189681,61,true,,2023-12-30T00:35:35Z,"","RCA Records Label",0.591,0.333,8,-10.828,1,0.0434,0.901,0.000878,0.129,0.504,139.833,3
spotify:track:4NgherJDfCXWBZBYheM4jK,"WASTE","DISORDER","KXLLSWXTCH",2021-10-29,120428,71,false,,2023-12-30T00:35:34Z,"trap metal","KILL! / EMPIRE",0.627,0.123,7,-14.411,1,0.0316,0.859,0.00105,0.149,0.11,131.883,4
spotify:track:5L2BOGoYDJjJHBqCg1Spip,"Grounded","HUMAN","Nitepunk",2023-03-24,218536,22,false,,2023-12-29T11:41:21Z,"bass house,dubstep,bass music","HARD Recs",0.706,0.953,9,-2.908,0,0.242,0.0135,0.0872,0.165,0.249,122.926,4
spotify:track:29tRu5BqKiUDAoWLKIO3RN,"Tears","Quest For Fire","Skrillex;Joker;Sleepnet",2023-02-17,185571,50,false,,2023-12-27T15:31:34Z,"dubstep,edm,electro,electronic,dub,drum and bass,bass music","OWSLA/Atlantic",0.697,0.633,5,-5.288,0,0.1,0.00182,0.2,0.109,0.369,140.216,4
spotify:track:4F9RuI9WA0lTydWGTVYrru,"Empress - Phace x IMANU VIP","UNFOLD Remixes","IMANU;Phace",2023-04-14,231627,13,false,,2023-12-27T14:28:08Z,"drum and bass,drumstep,jungle","Deadbeats",0.513,0.749,11,-1.705,1,0.131,0.0109,0.411,0.0947,0.12,172.035,4
spotify:track:3oAilOlBKSdlkdg1nzqqTS,"Europa","Europa","Isenberg",2022-12-16,353218,8,false,,2023-12-27T13:26:59Z,"uk garage,rally house,bass house,bassline","NIGHTMODE",0.479,0.822,5,-3.412,1,0.0449,0.000301,0.783,0.342,0.121,174.011,4
spotify:track:0f97n6kmc8RYUwMyialr8y,"Closer","Closer","Bou;Slay",2023-05-05,135796,62,false,,2023-12-22T13:15:25Z,"drum and bass,bassline,jungle,liquid funk","Universal-Island Records Ltd.",0.63,0.736,1,-6.028,1,0.0445,0.0759,0.0246,0.123,0.338,87.46,4
spotify:track:1Uk6kqbSTNFBqXACE4Vv6A,"All U Gotta Do","All U Gotta Do","Bou",2022-11-25,225785,54,false,,2023-12-22T13:11:55Z,"drum and bass,bassline,jungle","DnB Allstars Records",0.768,0.801,0,-1.726,1,0.053,0.00706,0.302,0.0981,0.465,87.496,4
spotify:track:5EIyuLTiZwAmmlsqxdLJC0,"Blue Mile","Blue Mile","Of The Trees;Barclay Crenshaw;Strategy",2023-12-01,212571,43,false,,2023-12-21T14:26:24Z,"bass music,drum and bass,uk garage,dubstep,drumstep,grime","Memory Palace",0.739,0.898,9,-4.486,1,0.0618,0.0787,0,0.0808,0.356,139.998,4
spotify:track:1oCqiPvW4QSLKeo1fwR18B,"Better Than Gold","Existential","Justin Hawkes;Andrew Hellier",2022-10-21,320000,43,false,,2023-12-20T20:31:10Z,"drum and bass,liquid funk","Pilot.",0.581,0.968,9,-1.94,1,0.128,0.000165,0.115,0.0998,0.38,173.998,4
spotify:track:2pZl43xkq5JoTn5Y5b9S2H,"Harbinger","Mind Control","SVDDEN DEATH",2023-12-13,217714,11,false,,2023-12-20T08:36:33Z,"riddim,deathstep,dubstep,bass music,edm","VOYD Music",0.571,0.954,1,-1.247,1,0.371,0.681,0.00344,0.368,0.281,139.883,4
spotify:track:2dskIT3a12vAPFDYxCE1A1,"Descend","Descend","Circumference",2023-12-14,234418,18,false,,2023-12-20T08:36:14Z,"drum and bass,liquid funk","MODUS",0.446,0.626,9,-3.652,0,0.0424,0.0133,0.435,0.0516,0.0366,113.458,3
spotify:track:42R8E6TZ8to8tV0MQRECQg,"REALM OF THE DAMNED","REALM OF THE DAMNED","MARAUDA",2023-06-16,150295,0,false,,2023-12-19T07:51:33Z,"deathstep,riddim,dubstep,bass music","Malignant Music",0.381,0.998,10,-0.361,0,0.26,0.0005,0.911,0.157,0.05,135.084,4
spotify:track:6Qo987xYeQJgaQu12TkmGK,"Kingdoms & Castles","Still Kids - EP","Virtual Riot;tribes.",2017-08-10,195096,24,false,,2023-12-18T08:05:33Z,"dubstep,riddim,deathstep,bass music,future bass,edm,drumstep,dub","Spirited",0.609,0.797,0,-5.475,1,0.0453,0.0271,0,0.0695,0.326,155.007,4
spotify:track:1Ntiry8vSG3DlGSUbCLJUv,"Exile","Simulation","Virtual Riot;The Kids",2021-09-10,259200,26,false,,2023-12-18T08:03:31Z,"dubstep,riddim,deathstep,bass music,future bass,edm,drumstep,dub","Disciple",0.751,0.767,11,-4.567,0,0.077,0.0254,0.0957,0.12,0.312,99.993,4
spotify:track:2SFhJe79faMbb5fgEFJGg0,"Still Kids","Still Kids - EP","Virtual Riot;YOSIE",2017-08-10,229714,34,false,,2023-12-18T07:59:01Z,"dubstep,riddim,deathstep,bass music,future bass,edm,drumstep,dub","Spirited",0.655,0.663,0,-6.068,1,0.0479,0.219,0.00351,0.173,0.359,139.958,4
spotify:track:1o0xAaXY4nEaPdBGiLZdNb,"Lost It - VIP","Lost It","Virtual Riot;Pearl Andersson",2019-11-05,266322,43,false,,2023-12-18T07:57:44Z,"dubstep,riddim,deathstep,bass music,future bass,edm,drumstep,dub","Disciple Round Table",0.635,0.947,10,-1.919,0,0.123,0.0233,0.0541,0.126,0.593,155.01,4
